fecha_emision,datetime_utc_ancla,demanda_real,n_lecturas,ancla_ultimo_dia_real
2026-08-17T05:53:37Z,2026-08-15T22:00:00Z,25958.5,12,2026-08-16
2026-08-17T05:53:37Z,2026-08-15T23:00:00Z,24476.333333333332,12,2026-08-16
2026-08-17T05:53:37Z,2026-08-16T00:00:00Z,23514.166666666668,12,2026-08-16
2026-08-17T05:53:37Z,2026-08-16T01:00:00Z,22712.0,12,2026-08-16
2026-08-17T05:53:37Z,2026-08-16T02:00:00Z,22143.083333333332,12,2026-08-16
2026-08-17T05:53:37Z,2026-08-16T03:00:00Z,21853.0,12,2026-08-16
2026-08-17T05:53:37Z,2026-08-16T04:00:00Z,21981.25,12,2026-08-16
2026-08-17T05:53:37Z,2026-08-16T05:00:00Z,22105.333333333332,12,2026-08-16
2026-08-17T05:53:37Z,2026-08-16T06:00:00Z,22966.75,12,2026-08-16
2026-08-17T05:53:37Z,2026-08-16T07:00:00Z,25447.75,12,2026-08-16
2026-08-17T05:53:37Z,2026-08-16T08:00:00Z,27448.166666666668,12,2026-08-16
2026-08-17T05:53:37Z,2026-08-16T09:00:00Z,28601.083333333332,12,2026-08-16
2026-08-17T05:53:37Z,2026-08-16T10:00:00Z,29692.5,12,2026-08-16
2026-08-17T05:53:37Z,2026-08-16T11:00:00Z,30761.416666666668,12,2026-08-16
2026-08-17T05:53:37Z,2026-08-16T12:00:00Z,31654.0,12,2026-08-16
2026-08-17T05:53:37Z,2026-08-16T13:00:00Z,31422.25,12,2026-08-16
2026-08-17T05:53:37Z,2026-08-16T14:00:00Z,31218.416666666668,12,2026-08-16
2026-08-17T05:53:37Z,2026-08-16T15:00:00Z,31674.25,12,2026-08-16
2026-08-17T05:53:37Z,2026-08-16T16:00:00Z,32151.583333333332,12,2026-08-16
2026-08-17T05:53:37Z,2026-08-16T17:00:00Z,31938.916666666668,12,2026-08-16
2026-08-17T05:53:37Z,2026-08-16T18:00:00Z,30938.666666666668,12,2026-08-16
